Matlab,Python
0+0i,0
0.1+0i,0.1
0.2+0i,0.2
0.3+0i,0.3
0.4+0i,0.4
0.5+0i,0.5
0.6+0i,0.6
0.7+0i,0.7
0.8+0i,0.8
0.9+0i,0.9
1+0i,1
1+0i,1
0.626396558825568+0i,0.626396559
1+0i,1
0.613966211114259+0i,0.613966211
1+0i,1
0.0451684908213146+0i,0.045168491
0.822663307316923+0i,0.822663307
0.653138813496596+0i,0.653138813
1+0i,1
1+0i,1
15+0i,15
16+0i,16
17+0i,17
18+0i,18
0.208497254691995+0.0354278814438926i,0.20849725469199634+0.03542788144389314j
0.208497833876127+0.0354253152266746i,0.20849783387612597+0.03542531522667401j
0.257636022270978-0.0254531117584639i,0.25763602227097954-0.025453111758463955j
0.257636378845353-0.0254545305903381i,0.2576363788453515-0.025454530590337962j
0.211485791479478+0i,0.211485791
0.21148593260533+0i,0.211485933
0.258890287322257+0i,0.258890287
0.258890781666943+0i,0.258890782
15+0i,15
16+0i,16
17+0i,17
18+0i,18
0.226091060276288+0.0361055983816468i,0.2260910602762867+0.03610559838164629j
0.226090467629962+0.0361087324146739i,0.22609046762996327+0.03610873241467439j
0.24487502052356-0.026923346763795i,0.24487502052355922-0.026923346763794976j
0.244874717381788-0.0269216298397155i,0.24487471738178918-0.026921629839715508j
0.228955851140242+0i,0.228955851
0.22895576015844+0i,0.22895576
0.246350649029747+0i,0.246350649
0.246350160069031+0i,0.24635016
3+0i,3
0.999999999999879-9.06364638219951e-31i,0.9999999999998503-3.582223791601351e-31j
0.999999999999879+0i,1
1+0i,1
2+0i,2
1.2246885913983+1.99170658914565e-32i,1.2246885913982613+9.347340739519844e-32j
-0.224688591398419+9.18076181758998e-33i,-0.22468859139841174-2.8177791121887575e-33j
1.2246885913983+0i,1.224688591
0.224688591398419+0i,0.224688591
19+0i,19
20+0i,20
0.435060237523953+0.00424092156102509i,0.43506023752395345+0.004240921561024978j
0.435060661336438+0.00424323885192811i,0.4350606613364375+0.0042432388519280904j
0.435080907062222+0i,0.435080907
0.435081353448356+0i,0.435081353
1+0i,1
2+0i,2
-0.22468859139844+1.88202951744178e-32i,-0.22468859139843825+4.342176093204633e-32j
1.22468859139844+3.7931126202367e-33i,1.224688591398438+7.547726178315763e-33j
0.22468859139844+0i,0.224688591
1.22468859139844+0i,1.224688591
8+0i,8
9+0i,9
0.340989068818658-0.346141072851122i,0.3409890688186506-0.3461410728511356j
0.519353745003933+0.204429969045407i,0.5193537450039322+0.20442996904542035j
0.485888039951944+0i,0.48588804
0.558139699979778+0i,0.5581397
10+0i,10
1.01570808398497-1.08519625199668e-18i,1.0157080839849653-1.842173448223167e-18j
1.01570808398497+0i,1.015708084
4+0i,4
6+0i,6
8+0i,8
11+0i,11
12+0i,12
13+0i,13
14+0i,14
0.151817639216215-0.100507255404321i,0.15181763921629587-0.10050725540431832j
0.13171864894389+0.0395806468691351i,0.13171864894388374+0.0395806468691901j
0.133489538029656+0.212755124238525i,0.1334895380296663+0.21275512423848825j
0.213238465657028+0.00426193141557029i,0.21323846565699742+0.004261931415591323j
0.203818268029939-0.00501190822731591i,0.2038182680299045-0.005011908227324285j
0.118125112160251-0.0616863921558738i,0.11812511216023712-0.06168639215589565j
0.111394436906769-0.0758196487234422i,0.11139443690673481-0.07581964872345984j
0.182072249302562+0i,0.182072249
0.137537013513392+0i,0.137537014
0.25116568167869+0i,0.251165682
0.213281052358513+0i,0.213281052
0.203879880338407+0i,0.20387988
0.133261971695155+0i,0.133261972
0.134749173304783+0i,0.134749173
4+0i,4
6+0i,6
8+0i,8
11+0i,11
12+0i,12
13+0i,13
14+0i,14
0.114920274453103-0.0992955238445337i,0.1149202744531367-0.09929552384453441j
0.229305200003577+0.0647367186562613i,0.22930520000361776+0.06473671865627392j
-0.070578977039654-0.104480889627417i,-0.07057897703964845-0.104480889627401j
0.129644980969102-0.0861462062961729i,0.12964498096910643-0.08614620629616677j
0.112621889756144-0.0824436496177278i,0.11262188975610729-0.0824436496177391j
0.237404266298166+0.174795591277872i,0.2374042662981632+0.17479559127791738j
0.22556828766186+0.16745061910307i,0.22556828766186585+0.1674506191030208j
0.151875839210642+0i,0.151875839
0.238268162982511+0i,0.238268163
0.126085876676575+0i,0.126085877
0.155656641200116+0i,0.155656641
0.139573082700554+0i,0.139573083
0.294812286695706+0i,0.294812287
0.280928393432748+0i,0.280928393
4+0i,4
6+0i,6
11+0i,11
12+0i,12
0.246732081544807-0.147868813763149i,0.24673208154469378-0.147868813763101j
0.153663528729288+0.221146750780388i,0.15366352872935246+0.22114675078028645j
0.191251745235343-0.0626402226699547i,0.1912517452353491-0.06264022267008552j
0.188863550878803-0.0711956001287067i,0.18886355087887216-0.07119560012867869j
0.287648928638982+0i,0.287648929
0.269292341967349+0i,0.269292342
0.201248670931528+0i,0.201248671
0.201837197583193+0i,0.201837198
5+0i,5
7+0i,7
1.10021525069736+9.54321667312983e-18i,1.1002152506973857+1.0375489080971827e-17j
-0.113380575011036+5.80293340729675e-18i,-0.1133805750110387+3.65253431397048e-18j
1.10021525069736+0i,1.100215251
0.113380575011036+0i,0.113380575
7+0i,7
1.11333572397614-1.72087192816859e-17i,1.1133357239763888-2.3188047480048297e-17j
1.11333572397614+0i,1.113335724
-664.311678133276+0i,-664.3116781
-717.90058865288+0i,-717.9005887
-628.318530717967+0i,-628.3185307
-573.38704452182+0i,-573.3870445
-266.510891106493+0i,-266.5108911
-105.196968653567+0i,-105.1969687
-18.5377565319974+0i,-18.53775653
-31.6975185244406+0i,-31.69751852
-0.347020788712732+0i,-0.347020789
-6.5416296508383+0i,-6.541629651
-3.0926456743108+0i,-3.092645674
-0.594212218189811+0i,-0.594212218
-6.14391405733742+0i,-6.143914057
