Index,Percentage Difference (%),Matlab,Python
164,1.4807789108016677e-08,(296.3773157+0j),(296.37731565611307+0j)
165,1.4151686250134554e-08,(38.95393903+0j),(38.95393903551264+0j)
166,9.471967801524082e-09,(11.99654442+0j),(11.996544421136308+0j)
167,0.0,0j,0j
168,0.0,0j,0j
169,0.0,0j,0j
170,1.0425165464342633e-08,(1294.100998+0j),(1294.100998134912+0j)
171,5.610401286206907e-09,(1220.277081+0j),(1220.2770810684624+0j)
172,6.4079411389356285e-09,(47.16991481+0j),(47.16991480697738+0j)
173,6.48698354210682e-09,(6.19971195+0j),(6.1997119504021745+0j)
174,1.8575109648214006e-08,(1.909309345+0j),(1.9093093446453437+0j)
175,0.0,0j,0j
176,0.0,0j,0j
177,0.0,0j,0j
178,0.0,(0.072470348+0j),(0.072470348+0j)
179,0.0,(0.082972613+0j),(0.082972613+0j)
180,4.217859990778762e-08,(0.80945052+0j),(0.8094505203414148+0j)
181,4.635840321009898e-08,(0.503733631+0j),(0.5037336307664771+0j)
182,9.775427458924833e-09,(0.287909412+0j),(0.28790941202814435+0j)
183,0.0,(1+0j),(1+0j)
184,0.0,(1+0j),(1+0j)
185,0.0,(1+0j),(1+0j)
186,0.0,(8+0j),(8+0j)
187,0.0,(9+0j),(9+0j)
188,0.0,(10+0j),(10+0j)
189,0.0,(11+0j),(11+0j)
191,6.60131506023732e-08,(0.187308104+0j),(0.18730810387635202+0j)
193,9.515878517101779e-08,(0.256756761+0j),(0.2567567607556734+0j)
194,0.0,(8+0j),(8+0j)
195,0.0,(9+0j),(9+0j)
196,0.0,(10+0j),(10+0j)
197,0.0,(11+0j),(11+0j)
198,7.634883404660052e-08,(0.203043552+0j),(0.20304355215502137+0j)
200,2.8973817395478442e-08,(0.247540601+0j),(0.24754060092827804+0j)
202,0.0,(8+0j),(8+0j)
203,0.0,(9+0j),(9+0j)
204,0.0,(12+0j),(12+0j)
205,0.0,(13+0j),(13+0j)
207,5.6475420348863644e-08,(0.117528347+0j),(0.11752834706637463+0j)
208,3.579691337237196e-08,(0.385768931+0j),(0.38576893113809335+0j)
209,7.739755977802418e-08,(0.387179823+0j),(0.3871798232996677+0j)
210,0.0,(1+0j),(1+0j)
211,0.0,(2+0j),(2+0j)
212,0.0,(6+0j),(6+0j)
213,0.0,(7+0j),(7+0j)
214,1.553955206463976e-08,(0.470796357+0j),(0.47079635692684035+0j)
