Matlab,Python
-0.346858368906459 + 3.12259159115185e-17i,-0.34685836900942324+4.0829834292818974e-17j
0.103620833,0.10362083288064881
0.241800104,0.2418001037817181
1.087667903,1.0876679035006183
0.346858369,0.34685836900942324
1,1
4,4
5,5
6,6
7,7
-0.101148420803408 + 1.31828030614699e-17i,-0.10114842083480842+3.8214360338168936e-17j
-0.108245542354357 + 2.27342437167839e-18i,-0.10824554237352375+2.067409576762101e-17j
-0.261638396344981 - 1.86665609312757e-18i,-0.2616383964225716-1.0823158001121212e-17j
0.311989880200725 - 3.63011924162541e-17i,0.3119898801956526-3.479231385652736e-17j
1.09588519063411 - 1.73643393286630e-17i,1.0958851907483558-5.0822131865702113e-17j
0.101148421,0.10114842083480842
0.108245542,0.10824554237352375
0.261638396,0.2616383964225716
0.31198988,0.3119898801956526
1.095885191,1.0958851907483558
3,3
6,6
1.13405583623873 + 7.55810174741609e-19i,1.1340558362443682-1.9024994780265132e-18j
-0.131386452394688 + 4.33417124762895e-18i,-0.13138645240024374+2.2003310835067982e-18j
1.134055836,1.1340558362443682
0.131386452,0.13138645240024374
-590.8121922,-590.8121922
-638.3747754,-638.3747754
-408.2161569,-408.2161569
-23.3706476,-23.3706476
-3.241873758,-3.241873759
-6.058761709,-6.058761709
-14.64949678,-14.64949678
-31.61414496,-31.61414496
8131.075415,8131.075415393561
7667.228616,7667.228616039121
296.244651,296.24465099309407
36.59816431,36.59816430825918
11.8372994,11.837299403250801
0,0
0,0
0,0
1294.100845,1294.1008450128716
1220.277334,1220.2773340582578
47.14880057,47.14880057008428
5.824778758,5.824778757748825
1.883964713,1.883964712886108
0,0
0,0
0,0
0.07246996,0.07246996
0.082973074,0.082973074
0.80933907,0.8093390703262937
0.538200985,0.5382009846567011
0.264142533,0.264142533
1,1
1,1
1,1
8,8
9,9
10,10
11,11
0.184675949544586 + 0.0313762190233106i,0.1846759495445822+0.03137621902329934j
0.184664825403704 + 0.0313555219019155i,0.18466482540370702+0.03135552190192698j
0.256081140415536 - 0.0186593065041497i,0.2560811404155288-0.018659306504162827j
0.256076726131584 - 0.0186788561013976i,0.2560767261315914-0.018678856101384082j
0.187322378,0.18732237842924992
0.187307946,0.18730794562731135
0.256760044,0.2567600440016594
0.256757063,0.25675706286591277
8,8
9,9
10,10
11,11
0.200411596348991 + 0.0325873290467458i,0.20041159634899516+0.032587329046758234j
0.200424691866455 + 0.0326104759672515i,0.20042469186645187+0.032610475967239566j
0.246708741983088 - 0.0202793840935059i,0.24670874198309542-0.020279384093491514j
0.246713393169633 - 0.0202583437063808i,0.24671339316962568-0.020258343706394576j
0.203043695,0.20304369472001407
0.203060336,0.2030603364829579
0.247540818,0.24754081843221917
0.247543731,0.2475437312052089
8,8
9,9
12,12
13,13
0.116697769382925 + 0.00516146267729062i,0.11669776938292546+0.005161462677254857j
0.117539106598462 + 0.00496960814007897i,0.11753910659845881+0.004969608140047422j
0.386256986353478 + 0.00588149546218173i,0.38625698635342903+0.005881495462071426j
0.387518619056792 + 0.00562446498775665i,0.3875186190567196+0.0056244649875003055j
0.116811858,0.11681185759981369
0.117644118,0.11764411836139319
0.386301762,0.3863017622218457
0.387559434,0.38755943379309266
1,1
2,2
6,6
7,7
0.308302010644925 - 0.333751966892669i,0.30830201066498086-0.333751966899104j
0.533110895870110 - 0.0303160389147150i,0.5331108958826215-0.030316038909372484j
0.156518383253247 + 0.203658777070020i,0.15651838323129846+0.20365877707446545j
0.0726057107310478 + 0.0870096200086259i,0.07260571072250864+0.0870096200115725j
0.454357244,0.4543572440152029
0.53397218,0.5339721804775281
0.2568558,0.2568558
0.11332371,0.11332370980548971
1,1
2,2
4,4
5,5
6,6
7,7
0.185470744834794 + 0.212058958499182i,0.18547074481449038+0.2120589585205216j
-0.0743417565748178 + 0.0854394588781026i,-0.07434175659143136+0.08543945886805764j
0.466195020128223 - 0.0721153033357917i,0.46619502014463354-0.07211530335477459j
0.106561003582216 - 0.0783510768277162i,0.1065610035730688-0.07835107683892255j
0.284510959614431 - 0.109440753803914i,0.2845109596450407-0.10944075378379436j
0.0626305245973513 - 0.0851777308698523i,0.06263052460131632-0.08517773087176954j
0.281723977,0.2817239767411537
0.113254571,0.11325457123121406
0.471739773,0.4717397733768125
0.13226541,0.13226541015820548
0.304833995,0.30483399539242184
0.10572525,0.10572524981431679
1,1
4,4
5,5
7,7
